Score,62c763bdf8d351b15df3a4d62a03eba0,d3893e43819a907055a84e48a6ee97ba,c8e64404361f2426490d39459832c66a,282a02a1743eb47c6b340e52ecce40a2,aceab5a3452e2901e645065bda3e8847,812926407774771b3bd9885f7bfa4841,0cace8a29a1d6b225a8da561d35e8f5a,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,210fe1c0ffefde5bcd03d59b1efa6984,88e89266e58f1f125ebc4e0f66e2c060,a14d9ee17051ec08a4334ba43089502c,385042a6042a0df5ddfec6e17f285ae7,e371cd7cdde3e7ccb9834290fd4a92d0,0a02751cacf5e1cdfcc842a7f220199f,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,5ab3040d8617bf9f4d4cef4e56dcfd03,1545660e72158c7e90da5ad4c877a124,e06be7a69dbd6d6866a2799cd40c4bfe,0ae0c5a4fb9001d63669a0aa5b592167,8d4b50ec0cf99097e9ab0835937afee5,912ce8c21d8fb8abc491cb205ec23e9f,f70788e8446c1bc42684316de0a6c164,b76fa2f50a42120ec54fa98c29113326,3663000b31a5c80922afc6e48322accb,31bb67fe67e57dbeb8c4819b01892588,017ba03ed108f492c9293c7c95e5cae9,25447f441df2f134223d3e43319c99ad,f0426369f61595aee97055965ee7e6a3,dacb03ea801d459ef08db23a8b1d104f,e38601380bfbab35dd8c5927283533fb
37192.63230037689,0.2873413562774658,0.5904545783996582,22.438658475875854,22.209594249725342,29.24620294570923,33.66788458824158,36.17367625236511,263.0364017486572,136.58186745643616,164.8774778842926,102.10465860366821,180.13974475860596,3600,178.4094753265381,0.2379746437072754,3600,3600,3600,0.2985646724700928,1.6359367370605469,3600,9.537574768066406,0.32982802391052246,1.6338834762573242,3600,0.24456429481506348,6.601034641265869,3600,3600,2.349500894546509,3600,3600
35479.384623765945,0.28956151008605957,0.5831155776977539,31.04800248146057,23.613533973693848,33.139238357543945,33.390185832977295,36.81032037734985,221.38823795318604,224.09968852996826,227.9894049167633,140.35636115074158,244.68401408195496,1608.2843570709229,231.22989082336426,0.23380661010742188,3600,3600,3600,0.3062620162963867,1.659024715423584,3600,9.496139764785767,0.3455960750579834,1.6194865703582764,3600,0.3659501075744629,6.104048013687134,3600,3600,2.3483972549438477,3600,3600
34877.520050525665,0.28862953186035156,0.5888216495513916,20.220609664916992,22.517287492752075,30.042453289031982,33.27534770965576,37.46034073829651,202.70338249206543,126.45128560066223,155.76178646087646,95.08055233955383,168.28373527526855,1396.2111947536469,166.38901138305664,0.2258167266845703,3600,3600,3600,0.3118245601654053,1.7109923362731934,3600,9.438179969787598,0.33255839347839355,1.5803442001342773,3600,0.22243642807006836,6.076529264450073,3600,3600,2.3469302654266357,3600,3600
82463.6809425354,0.29271507263183594,0.5895438194274902,268.18072175979614,22.2521755695343,29.12013053894043,34.031333208084106,37.06789946556091,989.195946931839,1115.9233734607697,3600,767.0271027088165,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
45423.409655570984,1.0847017765045166,3600,131.48176193237305,485.7645254135132,756.4752769470215,689.4779489040375,778.9062776565552,994.7637276649475,1686.1580905914307,3600,663.7647948265076,3600,223.87329649925232,3600,0.21533727645874023,3600,3600,3600,0.29081010818481445,1.4957098960876465,3600,8.292163372039795,0.3223237991333008,1.4484102725982666,3600,0.23125529289245605,5.340599298477173,3600,773.8525371551514,2.170400857925415,1707.906121969223,510.09358406066895
80010.50913667679,44.76688003540039,295.824640750885,152.49414825439453,31.243279695510864,42.44492983818054,49.45241141319275,53.666714906692505,3600,3600,3600,214.16335344314575,3600,605.7363276481628,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1245.6334035396576,3600,3600,1675.0830471515656
59129.51860499382,2.0921106338500977,3600,392.49904680252075,3600,3600,3600,3600,924.3606233596802,3600,3600,3600,3600,215.97644901275635,3600,3.5368728637695312,1132.463163614273,3600,3600,0.5422141551971436,14.709688663482666,3600,37.14436888694763,0.6820492744445801,2.7532942295074463,3600,94.76398944854736,285.8362669944763,3600,523.6048974990845,3.1088671684265137,1122.8251938819885,372.61950850486755
58029.95630598068,1.5305256843566895,3600,307.444748878479,3600,3600,3600,3600,730.2808885574341,1704.9844658374786,3600,900.6142287254333,3600,294.25769567489624,3600,3.546592950820923,1452.8958632946014,3600,3600,0.5396122932434082,10.057299137115479,3600,46.60271120071411,0.49059629440307617,1.87318754196167,3600,690.9313628673553,103.04691863059998,3600,893.5728232860565,3.261690855026245,3600,484.0250942707062
47828.85825300217,1.10772705078125,3600,52.498849868774414,183.59277749061584,254.1786515712738,285.73551297187805,311.6511461734772,830.2066283226013,3600,3600,1076.4904613494873,3600,268.21755266189575,3600,0.21972060203552246,3600,3600,3600,0.2902517318725586,1.4449565410614014,3600,8.390608549118042,0.3089475631713867,1.4458775520324707,3600,0.27686452865600586,5.641136884689331,3600,882.9728026390076,2.0575129985809326,3600,462.1302659511566
41105.43522310257,1.0652801990509033,3600,68.73512816429138,190.10311841964722,249.26313424110413,282.6265013217926,311.70074796676636,890.3611369132996,1508.0184345245361,1431.6944344043732,582.2062890529633,3600,275.8671374320984,1606.8875641822815,0.22167611122131348,3600,3600,3600,0.28931546211242676,1.4394526481628418,3600,8.407615900039673,0.31970787048339844,1.412153720855713,3600,0.27652597427368164,5.366492033004761,3600,905.4375858306885,2.0225136280059814,3600,381.7132771015167
